ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ANNIE	 (Seriously) No. We're friends.  I wanna remain friends.	ALVY	 (In disbelief) Okay. (Louder, to the waitress) Check, please.  Can I -can I ... Can I ... Can I ...	ANNIE	 (Interrupting) You're mad, aren't you?	ALVY	 (Shaking his head) No. (Then nodding) Yes, of course I'm mad, because you love me, I know that.	Annie Hall 
ALVY	 (In disbelief) Okay. (Louder, to the waitress) Check, please.  Can I -can I ... Can I ... Can I ...	ANNIE	 (Interrupting) You're mad, aren't you?	ALVY	 (Shaking his head) No. (Then nodding) Yes, of course I'm mad, because you love me, I know that.	ANNIE	 Alvy, I can't say that that's true at this point in my life.  I really just can't say that that's true.  I mean, you know how wonderful you are.  I mean, you know ... you're the reason that I got outta my room and that I was able to sing, and-and-and, you know, get more in touch with my feelings and all that crap.  Anyway, look, I don't wanna- Listen, listen, listen, uh (Laughing) h'h, so whatta you up to anyway, huh?	Annie Hall 
ANNIE	 (Interrupting) You're mad, aren't you?	ALVY	 (Shaking his head) No. (Then nodding) Yes, of course I'm mad, because you love me, I know that.	ANNIE	 Alvy, I can't say that that's true at this point in my life.  I really just can't say that that's true.  I mean, you know how wonderful you are.  I mean, you know ... you're the reason that I got outta my room and that I was able to sing, and-and-and, you know, get more in touch with my feelings and all that crap.  Anyway, look, I don't wanna- Listen, listen, listen, uh (Laughing) h'h, so whatta you up to anyway, huh?	ALVY	 (Shrugging his shoulders) The usual, you know. Uh, tryin't'write. I'm workin' on a play. (Sighing) Jesus.  So whatta yuh saying?  That you're not comin' back to New York with me?	Annie Hall 
ALVY	 (Shaking his head) No. (Then nodding) Yes, of course I'm mad, because you love me, I know that.	ANNIE	 Alvy, I can't say that that's true at this point in my life.  I really just can't say that that's true.  I mean, you know how wonderful you are.  I mean, you know ... you're the reason that I got outta my room and that I was able to sing, and-and-and, you know, get more in touch with my feelings and all that crap.  Anyway, look, I don't wanna- Listen, listen, listen, uh (Laughing) h'h, so whatta you up to anyway, huh?	ALVY	 (Shrugging his shoulders) The usual, you know. Uh, tryin't'write. I'm workin' on a play. (Sighing) Jesus.  So whatta yuh saying?  That you're not comin' back to New York with me?	ANNIE	 (Nodding) No! (Pauses) Look, I gotta go.	Annie Hall 
ANNIE	 Alvy, I can't say that that's true at this point in my life.  I really just can't say that that's true.  I mean, you know how wonderful you are.  I mean, you know ... you're the reason that I got outta my room and that I was able to sing, and-and-and, you know, get more in touch with my feelings and all that crap.  Anyway, look, I don't wanna- Listen, listen, listen, uh (Laughing) h'h, so whatta you up to anyway, huh?	ALVY	 (Shrugging his shoulders) The usual, you know. Uh, tryin't'write. I'm workin' on a play. (Sighing) Jesus.  So whatta yuh saying?  That you're not comin' back to New York with me?	ANNIE	 (Nodding) No! (Pauses) Look, I gotta go.	ALVY	 You mean that ... (He gets up and starts following her past diners at other tables) I-I-I-I flew three thousand miles to see you.	Annie Hall 
ALVY	 (Shrugging his shoulders) The usual, you know. Uh, tryin't'write. I'm workin' on a play. (Sighing) Jesus.  So whatta yuh saying?  That you're not comin' back to New York with me?	ANNIE	 (Nodding) No! (Pauses) Look, I gotta go.	ALVY	 You mean that ... (He gets up and starts following her past diners at other tables) I-I-I-I flew three thousand miles to see you.	ANNIE	 I'm late.	Annie Hall 
ANNIE	 (Nodding) No! (Pauses) Look, I gotta go.	ALVY	 You mean that ... (He gets up and starts following her past diners at other tables) I-I-I-I flew three thousand miles to see you.	ANNIE	 I'm late.	ALVY	 Air miles, you know.  I mean, you know what that does to my stomach?	Annie Hall 
ANNIE	 Just forget it, Alvy, okay?  Let's just forget the conversation.	ALVY	 (Yelling after her) Awards! They do nothing but give out awards!  I can't believe it.  Greatest, greatest fascist dictator, Adolf Hitler!	ALVY	 (Getting out of the car) Officer, I know what you're gonna say. I'm-I'm not a great driver, you know, I-I have some problems with-with-with-	OFFICER	 (Interrupting) May I see your license, please?	Annie Hall 
ALVY	 (Getting out of the car) Officer, I know what you're gonna say. I'm-I'm not a great driver, you know, I-I have some problems with-with-with-	OFFICER	 (Interrupting) May I see your license, please?	ALVY	 Sure. (Searching, he finally fishes his license out of his pocket) just don't-don't get angry, you know what I mean?  'Cause I-I have - I have my-my license here.  You know, it's a rented car.  And I've ...	OFFICER	 Don't give me your life story (Looking at the piece of paper on the ground) -just pick up the license.	Annie Hall 
OFFICER	 (Interrupting) May I see your license, please?	ALVY	 Sure. (Searching, he finally fishes his license out of his pocket) just don't-don't get angry, you know what I mean?  'Cause I-I have - I have my-my license here.  You know, it's a rented car.  And I've ...	OFFICER	 Don't give me your life story (Looking at the piece of paper on the ground) -just pick up the license.	ALVY	 Pick up the license.  You have to ask nicely 'cause I've had an extremely rough day.  You know, my girl friend-	Annie Hall 
ALVY	 Sure. (Searching, he finally fishes his license out of his pocket) just don't-don't get angry, you know what I mean?  'Cause I-I have - I have my-my license here.  You know, it's a rented car.  And I've ...	OFFICER	 Don't give me your life story (Looking at the piece of paper on the ground) -just pick up the license.	ALVY	 Pick up the license.  You have to ask nicely 'cause I've had an extremely rough day.  You know, my girl friend-	OFFICER	 (Interrupting) Just give me the license, please.	Annie Hall 
ALVY	 Pick up the license.  You have to ask nicely 'cause I've had an extremely rough day.  You know, my girl friend-	OFFICER	 (Interrupting) Just give me the license, please.	ALVY	 Since you put it that way. (He laughs) It's hard for me to refuse. (He leans over, picks up the license, then proceeds to rip it up.  He lets the pieces go; they float to the ground) ... have a, I have a terrific problem with authority, you know.  I'm... it's not your fault.  Don't take it personal.			Annie Hall 
OFFICER	 (Interrupting) Just give me the license, please.	ALVY	 Since you put it that way. (He laughs) It's hard for me to refuse. (He leans over, picks up the license, then proceeds to rip it up.  He lets the pieces go; they float to the ground) ... have a, I have a terrific problem with authority, you know.  I'm... it's not your fault.  Don't take it personal.					Annie Hall 
ROB	 Imagine my surprise when I got your call, Max.	ALVY	 (Carrying his jacket over his shoulder) Yeah.  I had the feeling that I got you at a bad moment.  You know, I heard high-pitched squealing.	ROB	 (Starting the car) Twins, Max.  Sixteen-year-olds.  Can you imagine the mathematical possibilities?	ALVY	 (Reacting) You're an actor, Max.  You should be doing Shakespeare in the Park.	Annie Hall 
ALVY	 (Carrying his jacket over his shoulder) Yeah.  I had the feeling that I got you at a bad moment.  You know, I heard high-pitched squealing.	ROB	 (Starting the car) Twins, Max.  Sixteen-year-olds.  Can you imagine the mathematical possibilities?	ALVY	 (Reacting) You're an actor, Max.  You should be doing Shakespeare in the Park.	ROB	 Oh, I did Shakespeare in the Park, Max. I got mugged.  I was playing Richard the Second and two guys with leather jackets stole my leotard.	Annie Hall 
ROB	 (Starting the car) Twins, Max.  Sixteen-year-olds.  Can you imagine the mathematical possibilities?	ALVY	 (Reacting) You're an actor, Max.  You should be doing Shakespeare in the Park.	ROB	 Oh, I did Shakespeare in the Park, Max. I got mugged.  I was playing Richard the Second and two guys with leather jackets stole my leotard.	ALVY	 (Looking at Rob's helmet) Max, are we driving through plutonium?	Annie Hall 
ROB	 Oh, I did Shakespeare in the Park, Max. I got mugged.  I was playing Richard the Second and two guys with leather jackets stole my leotard.	ALVY	 (Looking at Rob's helmet) Max, are we driving through plutonium?	ROB	 Keeps out the alpha rays, Max.  You don't get old.			Annie Hall 
ACTRESS	 Well, you only give me books with the word "death" in the title.	ACTOR	 (In mirrored reflection) It's an important issue.	ACTRESS	 (In mirrored reflection) Alvy, you are totally incapable of enjoying life.	ACTRESS	 You're like New York.  You're an island.	Annie Hall 
ACTOR	 (In mirrored reflection) It's an important issue.	ACTRESS	 (In mirrored reflection) Alvy, you are totally incapable of enjoying life.	ACTRESS	 You're like New York.  You're an island.	ACTOR	 (Rising with emotion) Okay, if that's all that we've been through together means to you, I guess it's better if we just said goodbye, once and for all!  You know, it's funny, after all the serious talks and passionate moments that it ends here ... in a health -food restaurant on Sunset Boulevard. Goodbye, Sunny.	Annie Hall 
ACTRESS	 You're like New York.  You're an island.	ACTOR	 (Rising with emotion) Okay, if that's all that we've been through together means to you, I guess it's better if we just said goodbye, once and for all!  You know, it's funny, after all the serious talks and passionate moments that it ends here ... in a health -food restaurant on Sunset Boulevard. Goodbye, Sunny.	ACTRESS	 Wait!  I'm-I'm gonna ... go with you. (The actor comes back. They embrace) I love you.	ALVY	 (To the audience, gesturing) Tsch, whatta you want?  It was my first play.  You know, you know how you're always tryin' t' get things to come out perfect in art because, uh, it's real difficult in life.  Interestingly, however, I did run into Annie again.  It was on the Upper West Side of Manhattan.	Annie Hall 
ACTOR	 (Rising with emotion) Okay, if that's all that we've been through together means to you, I guess it's better if we just said goodbye, once and for all!  You know, it's funny, after all the serious talks and passionate moments that it ends here ... in a health -food restaurant on Sunset Boulevard. Goodbye, Sunny.	ACTRESS	 Wait!  I'm-I'm gonna ... go with you. (The actor comes back. They embrace) I love you.	ALVY	 (To the audience, gesturing) Tsch, whatta you want?  It was my first play.  You know, you know how you're always tryin' t' get things to come out perfect in art because, uh, it's real difficult in life.  Interestingly, however, I did run into Annie again.  It was on the Upper West Side of Manhattan.	ALVY'S VOICE	 (Over the theater scene and, Annie's singing) She had moved back to New York.  She was living in SoHo with some guy. (Laughing) And when I met her she was, of all things, dragging him in to see "The Sorrow and the Pity."  Which I counted as a personal triumph.  Annie and I ... (Alvy's voice continues over the scene shot through a window of Manhattan cafe showing Alvy and Annie sitting at a table, laughing and enjoying themselves) ... we had lunch sometime after that, and, uh, just, uh, kicked around old times.	Annie Hall 
ACTRESS	 Wait!  I'm-I'm gonna ... go with you. (The actor comes back. They embrace) I love you.	ALVY	 (To the audience, gesturing) Tsch, whatta you want?  It was my first play.  You know, you know how you're always tryin' t' get things to come out perfect in art because, uh, it's real difficult in life.  Interestingly, however, I did run into Annie again.  It was on the Upper West Side of Manhattan.	ALVY'S VOICE	 (Over the theater scene and, Annie's singing) She had moved back to New York.  She was living in SoHo with some guy. (Laughing) And when I met her she was, of all things, dragging him in to see "The Sorrow and the Pity."  Which I counted as a personal triumph.  Annie and I ... (Alvy's voice continues over the scene shot through a window of Manhattan cafe showing Alvy and Annie sitting at a table, laughing and enjoying themselves) ... we had lunch sometime after that, and, uh, just, uh, kicked around old times.	ALVY'S VOICE-OVER	 After that it got pretty late.  And we both hadda go, but it was great seeing Annie again, right?  I realized what a terrific person she was and-and how much fun it was just knowing her and I-I thought of that old joke, you know, this- this-this guy goes to a psychiatrist and says, "Doc, uh, my brother's crazy.  He thinks he's a chicken." And, uh, the doctor says, "Well, why don't you turn him in?" And the guy says, "I would, but I need the eggs." Well, I guess that's pretty much how how I feet about relationships.  You know, they're totally irrational and crazy and absurd and ... but, uh, I guess we keep goin' through it because, uh, most of us need the eggs.	Annie Hall 
ALVY	 (To the audience, gesturing) Tsch, whatta you want?  It was my first play.  You know, you know how you're always tryin' t' get things to come out perfect in art because, uh, it's real difficult in life.  Interestingly, however, I did run into Annie again.  It was on the Upper West Side of Manhattan.	ALVY'S VOICE	 (Over the theater scene and, Annie's singing) She had moved back to New York.  She was living in SoHo with some guy. (Laughing) And when I met her she was, of all things, dragging him in to see "The Sorrow and the Pity."  Which I counted as a personal triumph.  Annie and I ... (Alvy's voice continues over the scene shot through a window of Manhattan cafe showing Alvy and Annie sitting at a table, laughing and enjoying themselves) ... we had lunch sometime after that, and, uh, just, uh, kicked around old times.	ALVY'S VOICE-OVER	 After that it got pretty late.  And we both hadda go, but it was great seeing Annie again, right?  I realized what a terrific person she was and-and how much fun it was just knowing her and I-I thought of that old joke, you know, this- this-this guy goes to a psychiatrist and says, "Doc, uh, my brother's crazy.  He thinks he's a chicken." And, uh, the doctor says, "Well, why don't you turn him in?" And the guy says, "I would, but I need the eggs." Well, I guess that's pretty much how how I feet about relationships.  You know, they're totally irrational and crazy and absurd and ... but, uh, I guess we keep goin' through it because, uh, most of us need the eggs.	THE END		Annie Hall 
